professor_id,disciplina_id,turma_id
12,4,10
12,4,11
12,4,12
12,5,10
12,5,11
12,5,12
12,29,7
12,38,7
13,25,9
13,25,16
13,25,17
13,30,7
13,30,18
13,70,20
